model_name,language,cluster_type,edge_type,weighting,tails,overall_t,overall_r,attested_t,attested_r,marginal_t,marginal_r,unattested_t,unattested_r
English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE,0.634581357210626,0.74878702029634,0.3774917217635375,0.40662770418988714,-0.07339758434175737,0.20782250985346357,0.684368759279192,0.7796665248762643
English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE,0.6344149694785802,0.7506649587863232,0.282842712474619,0.3887657321920754,-0.05661385170722979,0.11891436043478404,0.7433660661136051,0.8365603571178715
English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE,0.6803056518827969,0.8508823139719326,0.22443344307471289,0.17870463028762046,0.14679516868351475,0.2772645202869466,0.5941279261776087,0.7638240787583291
English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE,0.7071431390080039,0.8459244526908505,0.2066666666666667,0.25543476004984444,0.0747696205456059,0.20014332793776005,0.78698224852071,0.8323552016538065
English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE,0.6285716791182256,0.7557332653469089,0.4414740409798298,0.4477618079725594,-0.18349396085439343,0.09405151455384791,0.6176577450361278,0.7966243530839922
English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE,0.6079294994297573,0.7530165640644189,0.3185965464321549,0.436484668191796,-0.16984155512168936,0.05120617779819361,0.6489703751785442,0.8080889162680248
English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE,0.6767484981474621,0.8478681243218605,0.19802950859533489,0.16623478275821452,0.14679516868351475,0.2860281019900862,0.582363016748349,0.754695400125114
English_RCC_KLD_onset_types_no_tails_1,English,RCC,KLD,att,FALSE,0.7089288540054988,0.841704702783617,0.18000000000000002,0.25013144284762023,0.1495392410912118,0.21002486832668793,0.7514792899408285,0.8107368032940419
English_SC_COV_onset_tokens_1,English,SC,COV,lex,TRUE,0.6615977962451688,0.7925085994431025,0.4615410428425494,0.5091492247249335,0.2037037037037037,0.3440616141518438,0.5309757615097179,0.6581307492889342
English_SC_COV_onset_tokens_no_tails_1,English,SC,COV,lex,FALSE,0.6442973213454362,0.7744615384287846,0.36226177800110926,0.4984176895508228,0.11664236870396086,0.27719897510522845,0.5449492609130661,0.6711113667629325
English_SC_COV_onset_types_1,English,SC,COV,att,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
English_SC_COV_onset_types_no_tails_1,English,SC,COV,att,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
English_SC_KLD_onset_tokens_1,English,SC,KLD,lex,TRUE,0.6357979806958446,0.7624273270153208,0.3774917217635375,0.3653334604234253,-0.11009637651263604,0.17965664933909542,0.723541929899464,0.8230757724793677
English_SC_KLD_onset_tokens_no_tails_1,English,SC,KLD,lex,FALSE,0.6200779080214371,0.7636065319340697,0.20203050891044216,0.36594762314675583,-0.16984155512168936,0.1121170683301182,0.7669649888473704,0.8384491039233478
English_SC_KLD_onset_types_1,English,SC,KLD,att,TRUE,0.6316748478219292,0.7931505795150406,0.18482754135564583,0.18814442599234407,0.0925925925925926,0.2927825046407464,0.6058928356068682,0.7275727789374743
English_SC_KLD_onset_types_no_tails_1,English,SC,KLD,att,FALSE,0.6160716741357609,0.7695959942692661,0.24666666666666665,0.16716497457161184,0,0.20987706470120857,0.6094674556213018,0.7376336776935319
