onset,attestedness,likert_rating,smoothed_bigram,hayes_phonetic_features,hayes_learned_features,bl_continuous_pmi,bl_discrete_binary_phonetic,bl_discrete_binary_learned,max_rcc_cov,max_rcc_kld,max_sc_cov,max_sc_kld
P K,unattested,1.65,-10.78393711,74.559,17.828,12.7886467,13.31721687,10.41561794,-16.861,-16.257,-15.641,-17.45
P K,unattested,1.55,-10.78393711,74.559,17.828,12.7886467,13.31721687,10.41561794,-16.861,-16.257,-15.641,-17.45
P L,attested,3.85,-4.910403024,62.86,11.188,4.772637844,4.578350067,4.836395264,-10.98,-11.145,-9.896,-11.417
P L,attested,4.35,-4.910403024,62.86,11.188,4.772637844,4.578350067,4.836395264,-10.98,-11.145,-9.896,-11.417
P R,attested,3.65,-3.487814971,61.509,9.772,3.091307163,3.521526814,3.684819222,-9.388,-9.948,-8.747,-9.426
P R,attested,4.25,-3.487814971,61.509,9.772,3.091307163,3.521526814,3.684819222,-9.388,-9.948,-8.747,-9.426
P W,unattested,2.3,-10.50112016,67.428,14.779,6.68785429,8.756106377,6.662801743,-12.852,-12.279,-11.127,-13.166
P W,unattested,2.15,-10.50112016,67.428,14.779,6.68785429,8.756106377,6.662801743,-12.852,-12.279,-11.127,-13.166
R D,unattested,1.15,-11.28163428,80.516,28.552,14.51170158,19.09700394,11.51737499,-18.749,-19.075,-17.054,-18.974
R D,unattested,1.5,-11.28163428,80.516,28.552,14.51170158,19.09700394,11.51737499,-18.749,-19.075,-17.054,-18.974
R G,unattested,1.6,-11.83965981,94.909,30.086,16.43033409,19.72680855,14.71769524,-18.013,-18.373,-16.984,-17.957
R G,unattested,1.45,-11.83965981,94.909,30.086,16.43033409,19.72680855,14.71769524,-18.013,-18.373,-16.984,-17.957
R L,unattested,1.8,-11.19564509,75.927,16.412,15.9600029,16.14942551,9.766950607,-15.665,-15.969,-13.691,-15.145
R L,unattested,1.45,-11.19564509,75.927,16.412,15.9600029,16.14942551,9.766950607,-15.665,-15.969,-13.691,-15.145
R N,unattested,1.65,-11.21358176,78.34,25.006,14.15081787,17.61993027,10.10745239,-18.193,-19.242,-16.984,-17.86
R N,unattested,1.5,-11.21358176,78.34,25.006,14.15081787,17.61993027,10.10745239,-18.193,-19.242,-16.984,-17.86
SH L,marginal,3.1,-10.42234003,67.082,18.173,6.962526321,8.951583862,7.340192318,-15.488,-14.519,-10.632,-15.071
SH L,marginal,3.15,-10.42234003,67.082,18.173,6.962526321,8.951583862,7.340192318,-15.488,-14.519,-10.632,-15.071
SH M,marginal,2.7,-10.42467574,71.042,26.242,11.41436958,10.20780373,10.09324169,-21.868,-20.237,-15.227,-12.153
SH M,marginal,2.65,-10.42467574,71.042,26.242,11.41436958,10.20780373,10.09324169,-21.868,-20.237,-15.227,-12.153
SH N,marginal,2.4,-10.4402767,68.014,25.937,11.41436958,9.986715317,10.27599049,-21.121,-19.671,-16.376,-11.324
SH N,marginal,2.789473684,-10.4402767,68.014,25.937,11.41436958,9.986715317,10.27599049,-21.121,-19.671,-16.376,-11.324
SH R,attested,4.05,-6.703929227,65.258,13.198,4.946611881,8.291809082,4.856086731,-12.932,-13.129,-9.482,-14.547
SH R,attested,4,-6.703929227,65.258,13.198,4.946611881,8.291809082,4.856086731,-12.932,-13.129,-9.482,-14.547
SH W,marginal,2.9,-10.42956086,69.072,17.541,8.132141113,10.39392853,8.142074585,-16.438,-14.827,-11.862,-20.522
SH W,marginal,3,-10.42956086,69.072,17.541,8.132141113,10.39392853,8.142074585,-16.438,-14.827,-11.862,-20.522
S M,attested,4.05,-5.959872564,63.975,12.292,6.240036488,6.483992577,5.984770775,-15.1,-14.088,-11.562,-19.886
S M,attested,3.8,-5.959872564,63.975,12.292,6.240036488,6.483992577,5.984770775,-15.1,-14.088,-11.562,-19.886
S N,attested,3.5,-5.693833768,63.864,11.986,6.240036488,5.644074917,5.796061516,-12.279,-13.005,-10.063,-11.996
S N,attested,4.45,-5.693833768,63.864,11.986,6.240036488,5.644074917,5.796061516,-12.279,-13.005,-10.063,-11.996
S W,attested,3,-5.346645693,63.424,11.647,4.862401009,5.707910538,5.937402725,-11.052,-11.093,-9.237,-15.724
S W,attested,3.4,-5.346645693,63.424,11.647,4.862401009,5.707910538,5.937402725,-11.052,-11.093,-9.237,-15.724
TH W,attested,2.2,-8.853086636,68.501,15.49,6.638364792,8.943313599,7.709605217,-14.339,-13.297,-11.127,-13.65
TH W,attested,2.65,-8.853086636,68.501,15.49,6.638364792,8.943313599,7.709605217,-14.339,-13.297,-11.127,-13.65
T L,unattested,1.75,-10.72393307,66.447,15.401,7.251878262,6.879458904,7.470410347,-13.253,-12.094,-9.896,-10.832
T L,unattested,1.842105263,-10.72393307,66.447,15.401,7.251878262,6.879458904,7.470410347,-13.253,-12.094,-9.896,-10.832
T R,attested,4.05,-4.169443591,62.173,10.42,4.280231476,3.968633652,4.892764092,-10.325,-9.913,-8.747,-13.569
T R,attested,5,-4.169443591,62.173,10.42,4.280231476,3.968633652,4.892764092,-10.325,-9.913,-8.747,-13.569
T W,marginal,3.4,-6.705802212,64.543,12.916,6.329324722,6.451200962,6.4591856,-13.247,-12.95,-11.127,-14.097
T W,marginal,3.5,-6.705802212,64.543,12.916,6.329324722,6.451200962,6.4591856,-13.247,-12.95,-11.127,-14.097
V L,marginal,2.3,-10.40637618,66.197,19.645,9.920505524,6.262986183,9.903975487,-15.553,-15.172,-12.054,-14.921
V L,marginal,3.7,-10.40637618,66.197,19.645,9.920505524,6.262986183,9.903975487,-15.553,-15.172,-12.054,-14.921
V R,marginal,2.7,-10.40153744,67.139,18.728,8.786838532,6.474814415,9.603515625,-13.99,-13.401,-12.072,-13.679
V R,marginal,2.3,-10.40153744,67.139,18.728,8.786838532,6.474814415,9.603515625,-13.99,-13.401,-12.072,-13.679
V W,unattested,1.7,-10.41359701,77.097,23.735,10.09837914,13.05484295,10.60262203,-15.686,-15.37,-12.785,-15.527
V W,unattested,1.55,-10.41359701,77.097,23.735,10.09837914,13.05484295,10.60262203,-15.686,-15.37,-12.785,-15.527
Z R,unattested,2.05,-10.59906842,73.551,18.354,8.786838532,7.753809929,10.47994995,-13.99,-13.401,-12.072,-13.679
Z R,unattested,2.1,-10.59906842,73.551,18.354,8.786838532,7.753809929,10.47994995,-13.99,-13.401,-12.072,-13.679
