	f01	f02	f03	f04
TH	+	+	0	0
CH	+	-	-	+
DH	+	-	-	+
JH	+	-	-	+
HH	+	+	0	0
SH	+	+	0	0
M	+	-	-	-
F	+	+	0	0
S	+	-	+	0
P	+	+	0	0
W	-	0	0	0
T	+	+	0	0
R	-	0	0	0
Z	+	-	-	+
N	+	-	-	-
L	-	0	0	0
G	+	+	0	0
V	+	-	-	+
Y	+	-	-	+
B	+	+	0	0
K	+	+	0	0
D	+	+	0	0
