step,train_mb_loss,train_mb_mle,train_mb_smoothed_1.0,train_mb_backoff_0.25,dev_loss,dev_smoothed_1.0,dev_backoff_0.25,time,batch_size,lr,num_iter
0,4.743099689483643,1.662499372455111,1.6673422233990496,1.537555291170782,26.259021759033203,1.5270070457874685,1.3927729315804598,0:00:00.105593,32,0.1,1763
100,21.9447021484375,1.8389437180375554,1.8437831874687207,1.7073308110987881,12.582392692565918,1.5270070457874685,1.3927729315804598,0:00:00.209744,32,0.1,1763
200,11.870925903320312,1.3465915784895053,1.3522902376233819,1.230767942210107,13.714032173156738,1.5270070457874685,1.3927729315804598,0:00:00.200196,32,0.1,1763
300,10.437745094299316,1.6066902257355173,1.614320196549071,1.4821604325613618,10.154980659484863,1.5270070457874685,1.3927729315804598,0:00:00.199753,32,0.1,1763
400,4.38282585144043,1.147267186103827,1.1579413258699809,1.0238258579103545,6.528295040130615,1.5270070457874685,1.3927729315804598,0:00:00.199303,32,0.1,1763
500,8.011874198913574,1.755088585004071,1.7594772710796212,1.626763520086932,6.607810020446777,1.5270070457874685,1.3927729315804598,0:00:00.202570,32,0.1,1763
600,8.675658226013184,1.519423692040701,1.5282833480036597,1.3937420764152277,6.674259662628174,1.5270070457874685,1.3927729315804598,0:00:00.220858,32,0.1,1763
700,3.849811553955078,1.524134412314847,1.5331880581449606,1.400128647372315,9.601099967956543,1.5270070457874685,1.3927729315804598,0:00:00.199649,32,0.1,1763
800,11.285099983215332,1.7506795746379693,1.7563431213095946,1.6262801272128573,14.709495544433594,1.5270070457874685,1.3927729315804598,0:00:00.201700,32,0.1,1763
900,20.043794631958008,1.5847646656246996,1.5951409789124444,1.4413033671238489,7.518799781799316,1.5270070457874685,1.3927729315804598,0:00:00.199026,32,0.1,1763
1000,9.031414985656738,1.4548768271057924,1.4629606849702081,1.323171349311106,6.935609340667725,1.5270070457874685,1.3927729315804598,0:00:00.201771,32,0.1,1763
1100,11.680845260620117,1.8343367147874083,1.8397470135714067,1.7102053815305929,9.666367530822754,1.5270070457874685,1.3927729315804598,0:00:00.199270,32,0.1,1763
1200,6.06133508682251,1.2207060684812168,1.2310246823740145,1.0906605627294166,6.500482559204102,1.5270070457874685,1.3927729315804598,0:00:00.222337,32,0.1,1763
1300,8.41703987121582,1.897753925141461,1.9058767975622013,1.7733758858322997,5.81626558303833,1.5270070457874685,1.3927729315804598,0:00:00.200212,32,0.1,1763
1400,6.151304244995117,1.35971921583677,1.36540804975053,1.2426078282399842,8.983746528625488,1.5270070457874685,1.3927729315804598,0:00:00.198078,32,0.1,1763
1500,11.116730690002441,1.586204587356663,1.593880384719537,1.4424506532496415,10.926929473876953,1.5270070457874685,1.3927729315804598,0:00:00.200186,32,0.1,1763
1600,7.34854793548584,1.6502000070097125,1.6554994376554375,1.5248642380533621,7.867893695831299,1.5270070457874685,1.3927729315804598,0:00:00.200946,32,0.1,1763
1700,12.675827980041504,1.3612389785993535,1.3688436817998575,1.2372122811511088,7.9120774269104,1.5270070457874685,1.3927729315804598,0:00:00.222174,32,0.1,1763
0,4.057188034057617,1.9100859466337061,1.9160472442326066,1.7911668948812134,3.896937131881714,1.5270070457874685,1.3927729315804598,0:00:00.069111,32,0.01,1763
