step,train_mb_loss,train_mb_mle,train_mb_smoothed_1.0,train_mb_backoff_0.25,dev_loss,dev_smoothed_1.0,dev_backoff_0.25,dev_unseen_c_loss,dev_unseen_c_smoothed_1.0,dev_unseen_c_backoff_0.25,time,batch_size,lr,num_iter
0,3.994617462158203,0.8571138293703586,0.8745718851534159,0.7416303130195141,4.52846097946167,2.6061801668856037,2.4800672832361443,3.9801156520843506,2.687873155431058,2.5588229950016923,0:00:00.105855,32,0.1,1763
100,1.6080609560012817,1.3851719989349955,1.4404641597193584,1.2485153198422176,3.333146810531616,2.6061801668856037,2.4800672832361443,3.0448338985443115,2.687873155431058,2.5588229950016923,0:00:00.207138,32,0.1,1763
200,2.8070662021636963,1.3890507457598193,1.4164656434636684,1.26599782049317,4.181735038757324,2.6061801668856037,2.4800672832361443,3.0849883556365967,2.687873155431058,2.5588229950016923,0:00:00.208510,32,0.1,1763
300,2.13016414642334,1.3001224275891299,1.3133987424449507,1.1820085442357773,3.485532760620117,2.6061801668856037,2.4800672832361443,2.984597682952881,2.687873155431058,2.5588229950016923,0:00:00.211884,32,0.1,1763
400,2.0793871879577637,1.6992464767071185,1.7105905337916694,1.5729934804853312,3.156163215637207,2.6061801668856037,2.4800672832361443,2.9503939151763916,2.687873155431058,2.5588229950016923,0:00:00.198484,32,0.1,1763
500,1.3611998558044434,1.1669034935005107,1.1773515618024626,1.043725106906366,3.7733213901519775,2.6061801668856037,2.4800672832361443,2.999159336090088,2.687873155431058,2.5588229950016923,0:00:00.199679,32,0.1,1763
600,1.8430358171463013,1.3484168780852488,1.3575009696390294,1.2355875330474204,3.2944436073303223,2.6061801668856037,2.4800672832361443,2.954922676086426,2.687873155431058,2.5588229950016923,0:00:00.224200,32,0.1,1763
700,1.9845921993255615,1.6178800560044446,1.6271472299180396,1.4831195720612773,3.143273115158081,2.6061801668856037,2.4800672832361443,3.044219732284546,2.687873155431058,2.5588229950016923,0:00:00.198885,32,0.1,1763
800,2.3087806701660156,1.4763442216762312,1.4863561320321965,1.344833691597704,3.3013389110565186,2.6061801668856037,2.4800672832361443,2.8891286849975586,2.687873155431058,2.5588229950016923,0:00:00.195945,32,0.1,1763
900,1.7111406326293945,1.340211670023895,1.3512218003742884,1.2026733331108619,4.327229022979736,2.6061801668856037,2.4800672832361443,2.8706789016723633,2.687873155431058,2.5588229950016923,0:00:00.196392,32,0.1,1763
1000,2.821587562561035,1.9670804465066372,1.9769327709322502,1.8351777823406445,3.9168779850006104,2.6061801668856037,2.4800672832361443,2.9937632083892822,2.687873155431058,2.5588229950016923,0:00:00.194406,32,0.1,1763
1100,1.9749236106872559,1.5986322725712048,1.6081408929116106,1.467543107553121,3.1948819160461426,2.6061801668856037,2.4800672832361443,3.0771443843841553,2.687873155431058,2.5588229950016923,0:00:00.198424,32,0.1,1763
1200,1.2152347564697266,1.041354407096281,1.0589149250245524,0.9198548535584837,3.718499183654785,2.6061801668856037,2.4800672832361443,2.8908159732818604,2.687873155431058,2.5588229950016923,0:00:00.220898,32,0.1,1763
1300,1.4599937200546265,1.3071093139080836,1.3161916271012033,1.183111783369799,3.794391632080078,2.6061801668856037,2.4800672832361443,2.864354133605957,2.687873155431058,2.5588229950016923,0:00:00.196046,32,0.1,1763
1400,2.324000835418701,1.6102954904176712,1.6602819541457197,1.4901621781202856,3.3935530185699463,2.6061801668856037,2.4800672832361443,3.0966036319732666,2.687873155431058,2.5588229950016923,0:00:00.197739,32,0.1,1763
